    CÓDIGO, PRECIO, VIGENCIA
    RETINA-DIABETES, 550.00, 2023-12-23
    WEB-CHECKUP550, 550.00, 2022-09-30
    IGA-CHECKUP550, 550.00, 2022-09-30
    TWO-CHECKUP550, 550.00, 2022-09-30
    GMB-CHECKUP550, 550.00, 2022-09-30
    CC-CHECKUP550, 550.00, 2022-09-30
    FBAD-AWARNESS, 350.00, 2023-12-31
    FBAD-CONVERTION, 350.00, 2024-12-31
    FBAD-CONSIDERATION, 350.00, 2024-12-31
    GA-BRANDING-AWARNESS, 299.00, 2024-12-31
    GA-BRANDING-CONSIDERATION, 299.00, 2024-12-31
    GA-BRANDING-CONVERTION, 299.00, 2024-12-31
    SICS, 350.00, 2022-06-30
    AUROFOLD, 350.00, 2022-06-30
    AUROVUE, 350.00, 2022-06-30
    FB-OCULOPLASTIA, 350.00, 2022-09-30
    TW-OCULOPLASTIA, 350.00, 2022-09-30
    IG-OCULOPLASTIA, 350.00, 2022-09-30
    LK-OCULOPLASTIA, 350.00, 2022-09-30
    GM-OCULOPLASTIA, 350.00, 2022-09-30
    CC-OCULOPLASTIA, 350.00, 2022-09-30
    RETINA-SEO, 490.00, 2022-09-30
    FBA-RETINA, 490.00, 2022-07-31
    DSA-ALWAYSON, 350.00, 2022-12-31
    ECOLANA30, 245.00, 2022-08-18
    FBSEPT249, 249.00, 2022-10-30
    SINDICATOJSVISUAL2022, 300.00, 2022-10-30
    HSBC299, 299.00, 2022-10-30
    SCOT299, 299.00, 2022-10-30
    CITI299, 299.00, 2022-10-30
    STB22, 279.00, 2022-10-31
    STBESP22, 550.00, 2022-10-31
    FB-PACO, 249.00, 2022-10-31
    PROMO-BANNER, 299.00, 2022-10-31
    ROJAS-WEB299, 299.00, 2023-01-31
    DAISYSALAZAR30, 245.00, 2023-12-31
    MAILING-X23, 150.00, 2024-01-31
    MAILING-C23, 150.00, 2024-01-31
    MAILING-TLA23, 150.00, 2024-01-31
    VALLA-X23, 299.00, 2025-02-28
    VALLA-C23, 299.00, 2025-02-28
    MZO-WEB299, 299.00, 2023-03-31
    50DESC-MAILING, 175.00, 2023-03-31
    ADSFEB299, 299.00, 2023-02-28
    FB-FP-249, 249.00, 2023-12-30
    SEM-FP-249, 249.00, 2023-11-30
    WEB-PROMOSABADO, 200.00, 2022-10-31
    VOLANTE-TLA23, 150.00, 2023-05-31
    VOLANTE-C23, 150.00, 2023-05-31
    VOLANTE-X23, 150.00, 2023-05-31
    POSTER-TLA23, 150.00, 2023-05-31
    POSTER-C23, 150.00, 2023-05-31
    POSTER-X23, 150.00, 2023-05-31
    VALLA-TLA23, 150.00, 2023-05-31
    VOLANTE-S, 299.00, 2023-04-30
    VOLANTE-R, 299.00, 2023-04-30
    VOLANTE-E, 299.00, 2023-04-30
    VOLANTE-AR, 299.00, 2023-04-30
    VOLANTE-CH, 299.00, 2023-04-30
    VOLANTE-NA, 299.00, 2023-04-30
    VOLANTE-T, 299.00, 2023-04-30
    VOLANTE-V, 299.00, 2023-04-30
    VOLANTE-COY, 299.00, 2023-04-30
    VOLANTE-N, 299.00, 2023-04-30
    VOLANTE-TL, 299.00, 2023-04-30
    VOLANTE-B, 299.00, 2023-04-30
    ADSMZO299, 299.00, 2023-12-31
    ABR-WEB299, 299.00, 2023-04-30
    RRSSABRIL249, 299.00, 2023-04-30
    DIRECTOABRIL299, 299.00, 2023-04-30
    DIGITAL2X1, 350.00, 2023-05-30
    DIGITAL2X1ACOMPANANTE, 350.00, 2023-04-30
    DIGITALHAMBURGO20, 280.00, 2023-07-31
    HAMBURGO280, 280.00, 2023-07-31
    DIGITALHAMBURGO280, 280.00, 2023-07-31
    DIGITAL30, 245.00, 2023-06-06
    DIGITALNARVARTE, 280.00, 2023-05-28
    ANIVERSARIONARVARTE23, 280.00, 2023-05-28
    ADSMAYO299, 299.00, 2023-06-30
    CC-PEDIATRIA, 550.00, 2022-09-30
    PERIODICO-S, 350.00, 2023-07-30
